new_best_idx,eval,elapsed_sec,b1,b2,ratio,fitness,successes,delta_abs_vs_prev_best,delta_pct_vs_prev_best,plateau_since_prev_new_best
1,3,1694.9081208150092,24817,430743,17.35677156787686,33394.18466227039,602,,,
2,21,1850.3867304070081,27821,1205206,43.32001006433989,31201.277715654578,629,2192.9069466158107,6.566733006940019,17
3,24,1992.5352287710048,42349,3778414,89.22085527403244,28013.272732271078,640,3188.0049833835,10.217546257036732,2
4,34,2728.353201803002,39729,2143252,53.94678949885474,27141.923923654813,638,871.3488086162652,3.1104855792607125,9
5,71,6184.027841413008,37775,1599241,42.33596293845136,27126.317784555715,637,15.606139099098073,0.05749827883607383,36
6,86,7044.968251507009,37327,2449450,65.62140005893858,27122.373230472047,639,3.9445540836677537,0.014541428420165354,14
7,111,8780.205092034004,37027,2984489,80.60304642558133,27107.442001538675,639,14.93122893337204,0.05505133642433904,24
8,117,9382.587824436,36449,3719499,102.04666794699443,26789.603872999513,639,317.8381285391624,1.17251243596176,5
9,137,10387.588548865002,47812,2793202,58.420522044674975,25886.64090921565,639,902.9629637838625,3.3705722864156775,19
10,154,11204.876627407,41704,3655869,87.66231056972953,25338.99290920047,640,547.6480000151787,2.1155622389779274,16
11,224,14865.607727482005,46568,4510472,96.85775639924411,24666.43823397685,640,672.5546752236223,2.6542281204057674,69
