new_best_idx,eval,elapsed_sec,b1,b2,ratio,fitness,delta_abs_vs_prev_best,delta_pct_vs_prev_best,plateau_since_prev_new_best
1,1,0.2956359339877963,4693,16157,3.4427871297677393,1.1240727826952934,,,
2,3,1.2599108919966966,4905,6080,1.2395514780835881,1.0275580443849321,0.09651473831036128,8.58616450786567,1
3,6,2.211822443001438,2451,58824,24.0,0.986263095313916,0.04129494907101616,4.0187461230702715,2
4,7,2.4769045030116104,2159,51816,24.0,0.9688468881940935,0.017416207119822502,1.7658784154626739,0
5,18,7.989890224009287,2704,5824,2.1538461538461537,0.8589919798541814,0.10985490833991207,11.338727478877379,10
6,32,15.385161651996896,2442,6001,2.4574119574119573,0.849996720906347,0.008995258947834373,1.047187768780026,13
