new_best_idx,eval,elapsed_sec,b1,b2,ratio,fitness,delta_abs_vs_prev_best,delta_pct_vs_prev_best,plateau_since_prev_new_best
1,11,11.00449641799787,1561,1771,1.1345291479820627,0.8290242383081932,,,
2,63,22.49554683198221,1597,2046,1.2811521603005636,0.805733110581059,0.023291127727134153,2.809462817958717,51
3,75,27.656330957019236,1561,1771,1.1345291479820627,0.7977909531909972,0.007942157390061766,0.9857057238636048,11
4,212,64.0581511540222,1462,1462,1.0,0.7859353103558533,0.011855642835143954,1.4860588212643748,136
5,264,74.40664271399146,1421,1421,1.0,0.7853097786137369,0.0006255317421164364,0.07959074161373537,51
