new_best_idx,eval,elapsed_sec,b1,b2,ratio,fitness,delta_abs_vs_prev_best,delta_pct_vs_prev_best,plateau_since_prev_new_best
1,1,0.29445839900290594,3396,64670,19.04299175500589,1.0938292262726463,,,
2,2,0.5563745250110514,2033,48792,24.0,0.9727023682498839,0.12112685802276246,11.073653465588654,0
3,19,9.13077087700367,2348,13859,5.902470187393527,0.8841040259576403,0.08859834229224361,9.108473998233652,16
4,41,17.346838451980148,2348,3702,1.5766609880749574,0.8437053658417426,0.040398660115897655,4.56944645989354,21
5,66,25.38254268601304,2168,3667,1.691420664206642,0.816444530908484,0.027260834933258593,3.2310846934179653,24
6,70,26.393384850001894,2170,2170,1.0,0.7540936480218079,0.06235088288667612,7.63687923995232,3
7,209,64.6019557749969,2172,2172,1.0,0.740253790805582,0.013839857216225937,1.8352968828913538,138
