phase_idx,phase_label,eval_from,eval_to,eval_count,new_best_count,best_fitness_in_phase,improvement_in_phase,phase_duration_sec
1,numbers=20 curves_per_n=12 population_size=22 generations=14 mutation_prob=0.14 workers=12,1,0,0,0,,,1.1397001799196005e-05
2,init_best fitness=0.8288376210839488,1,22,22,1,0.8288376210839488,,9.192523710022215
3,generation=1/14 best_fitness=0.8288376210839488,23,43,21,0,0.8566086539067328,-0.027771032822784036,6.532327543012798
4,generation=2/14 best_fitness=0.8097578046144918,44,64,21,1,0.8097578046144918,0.04685084929224104,5.569892906001769
5,generation=3/14 best_fitness=0.7758326563925948,65,85,21,1,0.7758326563925948,0.03392514822189696,5.226127541973256
6,generation=4/14 best_fitness=0.7758326563925948,86,106,21,0,0.7768593700602651,-0.0010267136676702648,4.993627527030185
7,generation=5/14 best_fitness=0.7758326563925948,107,127,21,0,0.7852665797108784,-0.008407209650613368,5.130499113991391
8,generation=6/14 best_fitness=0.7693534320278559,128,148,21,1,0.7693534320278559,0.015913147683022544,4.884100827970542
9,generation=7/14 best_fitness=0.7640783920360263,149,169,21,1,0.7640783920360263,0.005275039991829544,4.879800817987416
10,generation=8/14 best_fitness=0.7640783920360263,170,190,21,0,0.7732553819369059,-0.009176989900879562,4.865452906000428
11,generation=9/14 best_fitness=0.7640783920360263,191,211,21,0,0.7724501366901677,0.0008052452467381954,4.84065038402332
12,generation=10/14 best_fitness=0.7640783920360263,212,232,21,0,0.7697335922857746,0.002716544404393062,4.9027419370249845
13,generation=11/14 best_fitness=0.7525899649190251,233,253,21,1,0.7525899649190251,0.01714362736674957,4.822283303947188
14,generation=12/14 best_fitness=0.7441253354772925,254,274,21,1,0.7441253354772925,0.00846462944173254,4.851023779017851
15,generation=13/14 best_fitness=0.7424757636617869,275,295,21,1,0.7424757636617869,0.0016495718155056238,4.797602623992134
16,generation=14/14 best_fitness=0.7381848970253486,296,316,21,1,0.7381848970253486,0.004290866636438295,4.888499926018994
