phase_idx,phase_label,eval_from,eval_to,eval_count,new_best_count,successes_sum,success_rate,best_fitness_in_phase,improvement_in_phase,phase_duration_sec
1,step=1/60 new_best b1=1462 b2=6511 fitness=1065900.4525628372,1,1,1,1,2,2.0,1065900.4525628372,,1.6137499980031862
2,step=4/60 new_best b1=1649 b2=114749 fitness=1047050.6927532385,2,4,3,1,5,1.6666666666666667,1047050.6927532385,18849.759809598676,5.110311698001169
3,step=5/60 new_best b1=17049 b2=19440 fitness=977634.7913088939,5,5,1,1,7,7.0,977634.7913088939,69415.90144434455,4.778435638996598
4,step=9/60 new_best b1=21490 b2=262634 fitness=448118.0575415608,6,9,4,1,39,9.75,448118.0575415608,529516.7337673332,10.886269077003817
5,step=22/60 new_best b1=20937 b2=202676 fitness=414384.5942338801,10,22,13,1,125,9.615384615384615,414384.5942338801,33733.46330768068,36.51758737699856
6,step=24/60 new_best b1=25951 b2=417950 fitness=357401.429792677,23,24,2,1,42,21.0,357401.429792677,56983.16444120312,7.701333277000231
7,step=58/60 new_best b1=28532 b2=478711 fitness=270601.4731892477,25,58,34,1,346,10.176470588235293,270601.4731892477,86799.95660342928,96.33385273900058
