new_best_idx,eval,elapsed_sec,b1,b2,ratio,fitness,successes,delta_abs_vs_prev_best,delta_pct_vs_prev_best,plateau_since_prev_new_best
1,1,123.5356665099971,4967,6531270,1314.9325548620898,86870.0903074589,544,,,
2,4,685.7418006820371,11501,280444,24.38431440744283,54529.92607039783,508,32340.16423706107,37.22819226111045,2
3,6,816.2507909429842,405686,38800571,95.64187820136756,51539.66031062857,640,2990.2657597692596,5.483715044668946,1
4,9,1045.0727528019925,115598,6067273,52.48596861537397,34966.17161344828,640,16573.48869718029,32.15676742394534,2
5,84,12972.670024394989,44572,5143621,115.40027371443956,33038.681107159246,640,1927.490506289032,5.512443648671287,74
6,87,13174.043104526994,24646,815501,33.088574210825286,30215.60102657517,618,2823.080080584077,8.54477232740485,2
7,90,13356.421815715032,44572,3195823,71.70023781746387,29524.603628552213,638,690.9973980229552,2.286889469500244,2
8,93,13485.365793835022,18840,1281577,68.02425690021231,28285.36539071425,630,1239.2382378379625,4.19730694246997,2
9,99,13733.415482068027,23090,1912111,82.81121697704634,27437.65094183389,634,847.7144488803606,2.997007240919911,5
10,115,14500.900983169035,24584,1668825,67.88256589651806,26500.437346992985,627,937.213594840905,3.415793855048814,15
11,139,15542.363381617004,40468,3626720,89.61945240683997,25858.82339714528,639,641.613949847706,2.4211447586562573,23
12,174,17039.39712269802,33716,3003081,89.06990746233242,25225.230302007258,639,633.5930951380215,2.450200789908979,34
