new_best_idx,eval,elapsed_sec,b1,b2,ratio,fitness,delta_abs_vs_prev_best,delta_pct_vs_prev_best,plateau_since_prev_new_best
1,5,14.042345438967459,4938,13904,2.8157148643175374,1.2393196822376922,,,
2,37,21.972141748992726,3532,3532,1.0,0.9884512268472463,0.2508684553904459,20.24243292396378,31
3,45,28.749283193959855,3532,3532,1.0,0.9625724029610865,0.025878823886159807,2.618118444619937,7
4,138,52.58808572299313,3000,3000,1.0,0.9340387748670764,0.028533628094010055,2.9643098021753254,92
5,192,69.81673052499536,3000,3000,1.0,0.9169621422479395,0.017076632619136944,1.8282573570424985,53
6,219,75.27890852099517,3000,3025,1.0083333333333333,0.9067483684921172,0.01021377375582233,1.1138708224947205,26
