new_best_idx,eval,elapsed_sec,b1,b2,ratio,fitness,delta_abs_vs_prev_best,delta_pct_vs_prev_best,plateau_since_prev_new_best
1,1,0.2845158490235917,1783,35660,20.0,1.0412789102410898,,,
2,2,0.5327821120154113,1018,20360,20.0,0.8792332463199273,0.16204566392116249,15.562176697081446,0
3,7,2.8347804750083014,2582,6492,2.5143299767622,0.8411965456616599,0.038036700658267364,4.326121744994492,4
4,9,3.3212260070140474,1425,28500,20.0,0.8297271923220251,0.011469353339634836,1.3634570183135246,1
5,25,8.985867410025094,2184,3424,1.5677655677655677,0.7864795218629297,0.04324767045909539,5.212275897342238,15
6,29,10.452627196034882,1208,10666,8.829470198675496,0.7608711683715228,0.025608353491406888,3.2560737793589998,3
7,60,19.57914768200135,1227,3281,2.67400162999185,0.7220788431877736,0.0387923251837492,5.098409138931579,30
8,74,23.2641130030388,1369,2931,2.1409788166544925,0.7199578837899026,0.0021209593978710473,0.2937296138615019,13
9,75,23.477791135024745,1231,3052,2.479285134037368,0.7161733127431944,0.0037845710467081517,0.5256656162699319,0
10,78,24.102404044009745,1310,1442,1.1007633587786259,0.6813805843994487,0.034792728343745694,4.85814365387023,2
11,85,25.711257397022564,1200,1652,1.3766666666666667,0.6766457121411804,0.004734872258268297,0.6948939207655133,6
12,87,26.128997422987595,1140,1707,1.4973684210526317,0.6741239021648653,0.002521809976315126,0.3726928185704599,1
13,102,29.696272451023106,1077,1220,1.1327762302692665,0.6538150708656758,0.020308831299189478,3.0126259036313927,14
14,129,36.27252351399511,1081,1081,1.0,0.6390854112105444,0.0147296596551314,2.2528785755318816,26
15,189,50.45149254403077,1048,1048,1.0,0.6283697384933475,0.010715672717196867,1.6767199703243776,59
