metric,value
best_eval,58
best_eval_fraction,0.9666666666666667
eval_per_sec,0.36946245624046475
evaluation_count,60
improvement_percent,73.69716944470248
max_plateau_evals,30
median_plateau_evals,2.0
new_best_count,9
new_best_rate,0.15
p90_plateau_evals,9.299999999999992
time_to_best_sec,156.60621555702528
time_to_first_improvement_sec,2.297683915006928
total_runtime_sec,162.39809752401197
flag_b1_hits_boundary,False
flag_b2_hits_boundary,False
flag_best_b1_on_boundary,True
flag_best_b2_on_boundary,False
flag_best_ratio_on_boundary,False
flag_late_best,True
flag_low_improvement,False
flag_low_signal,False
flag_plateau_too_long,False
flag_ratio_hits_boundary,True
