metric,value
best_eval,123
best_eval_fraction,0.5540540540540541
eval_per_sec,0.012531897173293366
evaluation_count,222
improvement_percent,24.448630845611156
max_plateau_evals,99
median_plateau_evals,14.0
new_best_count,5
new_best_rate,0.02252252252252252
p90_plateau_evals,94.5
time_to_best_sec,13142.896497531037
time_to_first_improvement_sec,53.75209118804196
total_runtime_sec,17714.804634672997
flag_b1_hits_boundary,False
flag_b2_hits_boundary,False
flag_best_b1_on_boundary,False
flag_best_b2_on_boundary,False
flag_best_ratio_on_boundary,False
flag_late_best,False
flag_low_improvement,False
flag_low_signal,True
flag_plateau_too_long,False
flag_ratio_hits_boundary,False
