method,run_count,cv_objective,iqr_objective
bo,9,0.05861168361657429,0.06149329600157216
de,9,0.023674465202673904,0.016140210442245007
ga,9,0.038442597928956795,0.06219911249354482
pso,9,0.05423610191433278,0.0843395438278094
rs,9,0.09972568796251437,0.21466824747039936
