group_a,group_b,win_rate_a,win_rate_b
30_dset_20260409T112558Z,30_dset_20260409T115651Z,0.48444444444444446,0.5155555555555555
30_dset_20260409T112558Z,30_dset_20260409T121414Z,0.4888888888888889,0.5111111111111111
30_dset_20260409T115651Z,30_dset_20260409T121414Z,0.52,0.48
