metric,value
best_eval,22
best_eval_fraction,0.275
eval_per_sec,0.01373344975202527
evaluation_count,80
improvement_percent,38.00761091754766
max_plateau_evals,58
median_plateau_evals,3.0
new_best_count,6
new_best_rate,0.075
p90_plateau_evals,28.000000000000018
time_to_best_sec,1710.2974826029968
time_to_first_improvement_sec,17.265582588035613
total_runtime_sec,5825.198109686025
flag_b1_hits_boundary,False
flag_b2_hits_boundary,False
flag_best_b1_on_boundary,False
flag_best_b2_on_boundary,False
flag_best_ratio_on_boundary,False
flag_late_best,False
flag_low_improvement,False
flag_low_signal,False
flag_plateau_too_long,True
flag_ratio_hits_boundary,False
