metric,value
best_eval,108
best_eval_fraction,0.4864864864864865
eval_per_sec,0.02143242685888582
evaluation_count,222
improvement_percent,89.75904102305327
max_plateau_evals,114
median_plateau_evals,5.0
new_best_count,14
new_best_rate,0.06306306306306306
p90_plateau_evals,25.0
time_to_best_sec,5426.042594925995
time_to_first_improvement_sec,60.837725446996046
total_runtime_sec,10359.078329042008
flag_b1_hits_boundary,False
flag_b2_hits_boundary,False
flag_best_b1_on_boundary,False
flag_best_b2_on_boundary,False
flag_best_ratio_on_boundary,False
flag_late_best,False
flag_low_improvement,False
flag_low_signal,False
flag_plateau_too_long,True
flag_ratio_hits_boundary,False
