new_best_idx,eval,elapsed_sec,b1,b2,ratio,fitness,successes,delta_abs_vs_prev_best,delta_pct_vs_prev_best,plateau_since_prev_new_best
1,1,60.837725446996046,177,885000,5000.0,236026.25277796097,0,,,
2,2,107.77380335400812,3290,83848,25.485714285714284,163668.9895942878,193,72357.26318367317,30.656447040127542,0
3,5,374.7277978810016,43434,43434,1.0,119517.2244926203,434,44151.76510166749,26.976255679902135,2
4,6,440.78120295499684,71702,345997,4.82548603944102,44253.07114417147,636,75264.15334844883,62.97347823124531,0
5,16,954.199736642011,12278,4633007,377.3421567030461,38380.50784059605,616,5872.5633035754145,13.270408475025997,9
6,22,1311.6564134840155,62735,1958853,31.22424483940384,30586.711603495387,639,7793.796237100665,20.306652193009718,5
7,28,1680.307575776009,51932,3796345,73.10222983902025,28110.52348539859,640,2476.1881180967976,8.095633653582505,5
8,29,1723.7281110520125,42382,4627863,109.1940682365155,27289.29869066411,640,821.2247947344804,2.9214140930568155,0
9,57,3162.108558417007,30095,4742551,157.5860109652766,26945.019270520697,637,344.2794201434117,1.261591307442402,27
10,59,3247.361103980016,25210,3305772,131.129393097977,26750.161655428747,634,194.85761509195072,0.7231674734971723,1
11,71,3874.7747990750067,34422,2991311,86.9011388065772,25221.392810619946,638,1528.768844808801,5.714989182125367,11
12,78,4151.212589789007,37234,2477577,66.5407154751034,25006.481731835065,640,214.91107878488037,0.852098376955566,6
13,85,4458.036534412997,35488,2204035,62.10648669972949,24974.84763300614,637,31.634098828926653,0.12650359682007625,6
14,108,5426.525587484008,30742,3280170,106.69995445969683,24171.35172181559,639,803.4959111905482,3.21722047316384,22
