metric,value
best_eval,34
best_eval_fraction,0.8947368421052632
eval_per_sec,0.2844968707840399
evaluation_count,38
improvement_percent,90.59196045777884
max_plateau_evals,14
median_plateau_evals,0.5
new_best_count,7
new_best_rate,0.18421052631578946
p90_plateau_evals,12.6
time_to_best_sec,111.09283448299902
time_to_first_improvement_sec,2.3973965479999606
total_runtime_sec,133.5692539369993
flag_b1_hits_boundary,True
flag_b2_hits_boundary,True
flag_best_b1_on_boundary,True
flag_best_b2_on_boundary,True
flag_best_ratio_on_boundary,False
flag_late_best,False
flag_low_improvement,False
flag_low_signal,False
flag_plateau_too_long,False
flag_ratio_hits_boundary,True
