phase_idx,phase_label,eval_from,eval_to,eval_count,new_best_count,best_fitness_in_phase,improvement_in_phase,phase_duration_sec
1,numbers=20 curves_per_n=12 initial_samples=10 iterations=10 candidate_pool=1000 workers=12,1,0,0,0,,,4.29496867582202e-06
2,initial_design_completed points=10,1,10,10,1,0.7385227133054286,,3.240746636991389
3,iteration=1/10 best_fitness=0.7385227133054286,11,11,1,0,0.7556084748648573,-0.017085761559428647,0.2236835510120727
4,iteration=2/10 best_fitness=0.7079767277464271,12,12,1,1,0.7079767277464271,0.04763174711843021,0.21475789800751954
5,iteration=3/10 best_fitness=0.7079767277464271,13,13,1,0,0.7308942383679096,-0.022917510621482506,0.22017528099240735
6,iteration=4/10 best_fitness=0.7079767277464271,14,14,1,0,1.0304568112187553,-0.29956257285084575,0.2891863179975189
7,iteration=5/10 best_fitness=0.7079767277464271,15,15,1,0,0.954049439606024,0.07640737161273137,0.29641239799093455
8,iteration=6/10 best_fitness=0.7079767277464271,16,16,1,0,0.8280811158183496,0.1259683237876743,0.24047996301669627
9,iteration=7/10 best_fitness=0.7079767277464271,17,17,1,0,0.7910233998554759,0.03705771596287377,0.22926214197650552
10,iteration=8/10 best_fitness=0.7079767277464271,18,18,1,0,0.7871410019579343,0.003882397897541523,0.23476346104871482
11,iteration=9/10 best_fitness=0.7079767277464271,19,19,1,0,1.0074984590464737,-0.22035745708853938,0.27411887497873977
12,iteration=10/10 best_fitness=0.7079767277464271,20,20,1,0,0.7416544518782757,0.265844007168198,0.22107741702347994
