metric,value
best_eval,78
best_eval_fraction,0.4875
eval_per_sec,0.012806308251360712
evaluation_count,160
improvement_percent,74.30935039573801
max_plateau_evals,82
median_plateau_evals,6.0
new_best_count,9
new_best_rate,0.05625
p90_plateau_evals,33.39999999999998
time_to_best_sec,5842.441008585971
time_to_first_improvement_sec,44.64856860000873
total_runtime_sec,12493.842632828979
flag_b1_hits_boundary,False
flag_b2_hits_boundary,False
flag_best_b1_on_boundary,False
flag_best_b2_on_boundary,False
flag_best_ratio_on_boundary,False
flag_late_best,False
flag_low_improvement,False
flag_low_signal,False
flag_plateau_too_long,True
flag_ratio_hits_boundary,True
