new_best_idx,eval,elapsed_sec,b1,b2,ratio,fitness,delta_abs_vs_prev_best,delta_pct_vs_prev_best,plateau_since_prev_new_best
1,1,0.7959505159524269,25956,333862,12.86261365387579,3.1309561564339674,,,
2,2,1.1470306209521368,5577,111540,20.0,1.3106776986387558,1.8202784577952116,58.13810116933848,0
3,3,1.4143126419512555,3437,3437,1.0,0.9508439010533039,0.359833797585452,27.45402610871981,0
4,5,2.083504391950555,1661,25531,15.370860927152318,0.8464256328588817,0.10441826819442213,10.981641474352632,1
5,24,8.509388039004989,2703,2703,1.0,0.787418908032123,0.05900672482675873,6.9712828317188364,18
6,32,10.621711389976554,1673,4841,2.8936043036461445,0.7640215790015645,0.023397329030558467,2.9713953769578474,7
7,43,13.261428237950895,1485,3065,2.063973063973064,0.7257446419098414,0.038276937091723084,5.00992879569501,10
8,46,13.915370429982431,1098,1113,1.0136612021857923,0.7186471772147343,0.007097464695107192,0.9779561963323324,2
9,50,15.048776404000819,1353,1353,1.0,0.6699081348779146,0.04873904233681969,6.782054376908281,3
10,93,25.37956278695492,1060,1293,1.219811320754717,0.66005452623358,0.0098536086443346,1.4708895341493862,42
11,95,26.1719967709505,1239,1317,1.062953995157385,0.6552650103985798,0.004789515835000202,0.7256242696084912,1
12,153,39.05425833800109,1125,1125,1.0,0.6466199824644718,0.00864502793410793,1.3193178022506338,57
13,189,47.44964714697562,1132,1132,1.0,0.644699383439729,0.0019205990247428417,0.29702129176751324,35
14,195,48.705544025986455,1137,1137,1.0,0.6430450828338508,0.001654300605878234,0.2566003083564124,5
15,210,51.95760071196128,1144,1144,1.0,0.6407664045982528,0.0022786782355979085,0.3543574620858536,14
