phase_idx,phase_label,eval_from,eval_to,eval_count,new_best_count,best_fitness_in_phase,improvement_in_phase,phase_duration_sec
1,numbers=20 curves_per_n=12 population_size=24 generations=16 mutation_prob=0.12 workers=12,1,0,0,0,,,1.4258024748414755e-05
2,init_best fitness=0.7556987230491359,1,24,24,1,0.7556987230491359,,7.17397920001531
3,generation=1/16 best_fitness=0.7253675898828078,25,47,23,1,0.7253675898828078,0.030331133166328073,5.731625850952696
4,generation=2/16 best_fitness=0.7253675898828078,48,70,23,0,0.7659825324662961,-0.0406149425834883,5.371476287022233
5,generation=3/16 best_fitness=0.7253675898828078,71,93,23,0,0.7372437073208857,0.028738825145410374,5.140169963997323
6,generation=4/16 best_fitness=0.7253675898828078,94,116,23,0,0.7564563174091745,-0.019212610088288784,5.194337923021521
7,generation=5/16 best_fitness=0.7253675898828078,117,139,23,0,0.7340512259979732,0.022405091411201283,5.116349804971833
8,generation=6/16 best_fitness=0.7253675898828078,140,162,23,0,0.7377309047151357,-0.00367967871716246,4.972908395982813
9,generation=7/16 best_fitness=0.7253675898828078,163,185,23,0,0.7267763626296073,0.010954542085528374,4.938296740001533
10,generation=8/16 best_fitness=0.7253675898828078,186,208,23,0,0.7324308605748229,-0.005654497945215553,4.971459142048843
11,generation=9/16 best_fitness=0.7025358441605931,209,231,23,1,0.7025358441605931,0.029895016414229758,4.973285040003248
12,generation=10/16 best_fitness=0.7025358441605931,232,254,23,0,0.7066579536651261,-0.004122109504532956,4.936650194984395
13,generation=11/16 best_fitness=0.7025358441605931,255,277,23,0,0.7044647670409176,0.002193186624208421,4.928325443994254
14,generation=12/16 best_fitness=0.7025358441605931,278,300,23,0,0.711264527955791,-0.006799760914873332,4.932210102968384
15,generation=13/16 best_fitness=0.7025358441605931,301,323,23,0,0.7093208435398992,0.0019436844158917665,4.8835520230350085
16,generation=14/16 best_fitness=0.7025358441605931,324,346,23,0,0.7043017944379244,0.005019049101974815,4.988330219988711
17,generation=15/16 best_fitness=0.7025358441605931,347,369,23,0,0.7082073127501645,-0.003905518312240064,4.943935927993152
18,generation=16/16 best_fitness=0.7025358441605931,370,392,23,0,0.7077743365371134,0.0004329762130510506,4.8726522119832225
