new_best_idx,eval,elapsed_sec,b1,b2,ratio,fitness,delta_abs_vs_prev_best,delta_pct_vs_prev_best,plateau_since_prev_new_best
1,15,4.915300991999629,379,471,1.2427440633245384,0.5380763049986399,,,
2,23,5.779383647999566,195,350,1.794871794871795,0.5257361394997133,0.01234016549892658,2.2933857864188565,7
3,28,6.873384860999977,100,198,1.98,0.5245647899996584,0.00117134950005493,0.2228017844026431,4
4,32,7.55349725699989,101,101,1.0,0.4996457740001006,0.024919015999557814,4.7504171981451595,3
5,49,10.476903639999819,100,100,1.0,0.4980735614990408,0.0015722125010597665,0.31466542556196025,16
6,87,17.03605439699959,100,100,1.0,0.4919307844982086,0.006142777000832211,1.2333071810405745,37
7,157,29.276524977999998,100,100,1.0,0.48935747650148187,0.002573307996726726,0.5231036718614012,69
