event_idx,kind,eval,elapsed_sec,b1,b2,ratio,fitness,is_new_best,message,timestamp_utc
1,step,0,3.6379997254698537e-06,,,,,False,numbers=20 curves_per_n=12 swarm_size=18 iterations=12 workers=12,2026-04-20T15:16:37.980845+00:00
2,evaluation,1,0.18064287899960618,1646,1646,1.0,0.587300602998539,False,,2026-04-20T15:16:38.161490+00:00
3,evaluation,2,0.35732227799962857,486,8025,16.512345679012345,0.6092670330017427,False,,2026-04-20T15:16:38.338170+00:00
4,evaluation,3,0.5670069519997014,3041,3496,1.1496218349227227,0.7534567334987514,False,,2026-04-20T15:16:38.547854+00:00
5,evaluation,4,0.7538146439997035,1786,1786,1.0,0.660252364999451,False,,2026-04-20T15:16:38.734662+00:00
6,evaluation,5,0.9298034689995802,519,7888,15.198458574181117,0.5962851555009365,False,,2026-04-20T15:16:38.910651+00:00
7,evaluation,6,1.1179176489999918,138,13800,100.0,0.6499300424993635,False,,2026-04-20T15:16:39.098764+00:00
8,evaluation,7,1.3113690769996538,770,28561,37.092207792207795,0.6867033785017611,False,,2026-04-20T15:16:39.292216+00:00
9,evaluation,8,1.6805019939997692,11400,17728,1.5550877192982455,1.5427950664986838,False,,2026-04-20T15:16:39.661350+00:00
10,evaluation,9,1.8881143169996903,544,54400,100.0,0.7503788769995481,False,,2026-04-20T15:16:39.868961+00:00
11,evaluation,10,2.131028323999999,4908,4908,1.0,0.9135089000010339,False,,2026-04-20T15:16:40.111877+00:00
12,evaluation,11,2.527747631999773,13771,13771,1.0,1.7036867674971745,False,,2026-04-20T15:16:40.508594+00:00
13,evaluation,12,2.7070091239997964,159,15900,100.0,0.6164042324980983,False,,2026-04-20T15:16:40.687857+00:00
14,evaluation,13,3.3266918099998293,27365,27365,1.0,2.5653801201021906,False,,2026-04-20T15:16:41.307538+00:00
15,evaluation,14,3.514097756999945,120,8956,74.63333333333334,0.6668349264989502,False,,2026-04-20T15:16:41.494944+00:00
16,evaluation,15,3.6865506089998235,379,471,1.2427440633245384,0.5380763049986399,False,,2026-04-20T15:16:41.667397+00:00
17,evaluation,16,4.130870060999769,15183,26544,1.748271092669433,1.9478940584986049,False,,2026-04-20T15:16:42.111717+00:00
18,evaluation,17,4.727948143999583,22383,125967,5.6277978823214045,2.4451229593001473,False,,2026-04-20T15:16:42.708795+00:00
19,evaluation,18,4.915195305999987,1688,1688,1.0,0.6399170289987524,False,,2026-04-20T15:16:42.896062+00:00
20,new_best,15,4.915300991999629,379,471,1.2427440633245384,0.5380763049986399,True,,2026-04-20T15:16:42.896142+00:00
21,step,18,4.915370859999712,,,,,False,init_best fitness=0.5380763049986399,2026-04-20T15:16:42.896212+00:00
22,evaluation,19,5.091504272999828,436,681,1.561926605504587,0.5666724194998096,False,,2026-04-20T15:16:43.072351+00:00
