phase_idx,phase_label,eval_from,eval_to,eval_count,new_best_count,best_fitness_in_phase,improvement_in_phase,phase_duration_sec
1,numbers=20 curves_per_n=12 swarm_size=18 iterations=12 workers=12,1,0,0,0,,,4.840956535190344e-06
2,init_best fitness=0.7941426855686586,1,18,18,1,0.7941426855686586,,8.229277841048315
3,iteration=1/12 best_fitness=0.7291569903609343,19,36,18,2,0.7291569903609343,0.06498569520772435,5.527970449998975
4,iteration=2/12 best_fitness=0.7256104212428909,37,54,18,2,0.7256104212428909,0.003546569118043408,4.1853003010037355
5,iteration=3/12 best_fitness=0.7127291978395078,55,72,18,3,0.7127291978395078,0.012881223403383046,3.985642758954782
6,iteration=4/12 best_fitness=0.7127291978395078,73,90,18,0,0.7177131281059701,-0.0049839302664622664,3.9781906180432998
7,iteration=5/12 best_fitness=0.7127291978395078,91,108,18,0,0.7208118035632651,-0.0030986754572950304,3.997409704956226
8,iteration=6/12 best_fitness=0.7127291978395078,109,126,18,0,0.7129369644680992,0.007874839095165953,3.983196521992795
9,iteration=7/12 best_fitness=0.7127291978395078,127,144,18,0,0.7304364885494579,-0.017499524081358686,4.05315510003129
10,iteration=8/12 best_fitness=0.7127291978395078,145,162,18,0,0.7316232589073479,-0.0011867703578900546,4.057310417992994
11,iteration=9/12 best_fitness=0.7127291978395078,163,180,18,0,0.7270424340676982,0.004580824839649722,3.992158851993736
12,iteration=10/12 best_fitness=0.7127291978395078,181,198,18,0,0.7202305136888754,0.006811920378822833,4.008213430992328
13,iteration=11/12 best_fitness=0.7127291978395078,199,216,18,0,0.7309975778043736,-0.010767064115498215,3.9791467280010693
14,iteration=12/12 best_fitness=0.7127291978395078,217,234,18,0,0.7261097340087872,0.004887843795586377,4.025885070033837
