phase_idx,phase_label,eval_from,eval_to,eval_count,new_best_count,best_fitness_in_phase,improvement_in_phase,phase_duration_sec
1,numbers=20 curves_per_n=12 swarm_size=18 iterations=12 workers=12,1,0,0,0,,,5.133973900228739e-06
2,init_best fitness=1.019623773638159,1,18,18,1,1.019623773638159,,9.384494367986917
3,iteration=1/12 best_fitness=0.967800359474495,19,36,18,1,0.967800359474495,0.05182341416366398,8.757739091000985
4,iteration=2/12 best_fitness=0.967800359474495,37,54,18,0,1.0810393047286198,-0.1132389452541247,6.056063832016662
5,iteration=3/12 best_fitness=0.9259240322571713,55,72,18,2,0.9259240322571713,0.1551152724714484,5.243624028982595
6,iteration=4/12 best_fitness=0.9259240322571713,73,90,18,0,0.9287408339732792,-0.002816801716107875,4.847945482993964
7,iteration=5/12 best_fitness=0.9222847852506675,91,108,18,1,0.9222847852506675,0.00645604872261174,4.946397007035557
8,iteration=6/12 best_fitness=0.9222847852506675,109,126,18,0,0.9234765430737752,-0.0011917578231077641,4.7303101099678315
9,iteration=7/12 best_fitness=0.9222847852506675,127,144,18,0,0.9631256416905671,-0.03964909861679189,5.2182839380111545
10,iteration=8/12 best_fitness=0.9222847852506675,145,162,18,0,0.9325632175605278,0.03056242413003929,4.987223865988199
11,iteration=9/12 best_fitness=0.9213218499789946,163,180,18,1,0.9213218499789946,0.011241367581533268,4.741622822009958
12,iteration=10/12 best_fitness=0.9213218499789946,181,198,18,0,0.9215679195185658,-0.00024606953957118094,4.734807963017374
13,iteration=11/12 best_fitness=0.9208211504737847,199,216,18,1,0.9208211504737847,0.0007467690447811037,4.687580602010712
14,iteration=12/12 best_fitness=0.9196085532021243,217,234,18,2,0.9196085532021243,0.0012125972716603428,4.694234202965163
