new_best_idx,eval,elapsed_sec,b1,b2,ratio,fitness,successes,delta_abs_vs_prev_best,delta_pct_vs_prev_best,plateau_since_prev_new_best
1,1,895.0690359399887,7326,43736485,5970.036172536173,754973.9646913967,179,,,
2,2,1238.9862908899959,51345,3351891,65.28174116272275,261546.0727958707,471,493427.891895526,65.35694142740665,0
3,8,4973.026492885983,112600,14613978,129.78666074600355,251427.40518031322,624,10118.667615557497,3.8687897345928914,5
4,15,7306.395542713988,67714,4306930,63.60471985113861,249063.38619321035,528,2364.0189871028706,0.9402391857035215,6
5,36,16574.64219423398,133563,15892865,118.99152459887843,247308.41131631413,631,1754.9748768962163,0.7046298148113985,20
6,77,34364.041585222,65454,4451978,68.01689736303358,246604.03096118607,541,704.380355128058,0.2848186001353333,40
7,82,36134.761429926,73799,4525885,61.32718600523042,244148.3437416925,551,2455.687219493586,0.9958017352441801,4
8,84,36917.241608407,91871,3864700,42.0665933754939,241343.06278907307,556,2805.280952619418,1.1490067512345645,1
9,88,38460.78420816499,87537,4206489,48.05384009047603,236321.58989668408,576,5021.4728923889925,2.080636930002673,3
10,104,44565.107659634,104326,5279631,50.60704905776125,235014.34945047056,597,1307.2404462135164,0.5531616670254379,15
11,114,48467.26205378698,102179,6015312,58.87033539181241,225405.95694181934,596,9608.392508651217,4.088428017743739,9
