new_best_idx,eval,elapsed_sec,b1,b2,ratio,fitness,delta_abs_vs_prev_best,delta_pct_vs_prev_best,plateau_since_prev_new_best
1,3,14.35670984099852,7782,7782,1.0,1.525068948365515,,,
2,21,15.570169647980947,5396,9550,1.7698295033358042,1.5079600736498833,0.017108874715631828,1.1218427031753664,17
3,23,16.594133085978683,3568,8107,2.2721412556053813,1.1521809264668263,0.3557791471830569,23.593406310945962,1
4,24,16.88251126097748,3190,8721,2.733855799373041,1.0893898989015725,0.0627910275652539,5.449754124797324,0
5,28,18.232017590955365,3181,4163,1.3087079534737505,0.9846478246909101,0.1047420742106624,9.61474622779901,3
6,41,22.518165300949477,3000,3000,1.0,0.9799454233143479,0.004702401376562193,0.47757190526859894,12
7,43,23.050167367968243,3000,3000,1.0,0.9391681721899658,0.04077725112438202,4.161175730222421,1
8,48,24.56422867096262,3000,3000,1.0,0.9216451927786693,0.017522979411296546,1.8657978336761787,4
9,54,26.20585917198332,3000,3000,1.0,0.9144381481164601,0.007207044662209228,0.7819760487743336,5
10,59,27.508959410944954,3000,3000,1.0,0.9100030828849413,0.00443506523151882,0.48500439758053304,4
11,87,34.95861128997058,3000,3000,1.0,0.9006691517715808,0.00933393111336045,1.0257032408911753,27
