metric,value
best_eval,148
best_eval_fraction,0.6324786324786325
eval_per_sec,0.1758035668182908
evaluation_count,234
improvement_percent,88.15579409040868
max_plateau_evals,86
median_plateau_evals,8.5
new_best_count,9
new_best_rate,0.038461538461538464
p90_plateau_evals,81.5
time_to_best_sec,795.2075724549941
time_to_first_improvement_sec,44.03067325800657
total_runtime_sec,1331.0380111889972
flag_b1_hits_boundary,True
flag_b2_hits_boundary,True
flag_best_b1_on_boundary,True
flag_best_b2_on_boundary,True
flag_best_ratio_on_boundary,False
flag_late_best,False
flag_low_improvement,False
flag_low_signal,False
flag_plateau_too_long,False
flag_ratio_hits_boundary,False
