metric,value
best_eval,142
best_eval_fraction,0.6454545454545455
eval_per_sec,0.29747550849157833
evaluation_count,220
improvement_percent,131.1810469616701
max_plateau_evals,78
median_plateau_evals,20.0
new_best_count,7
new_best_rate,0.031818181818181815
p90_plateau_evals,59.8
time_to_best_sec,471.41900664099376
time_to_first_improvement_sec,9.876260210992768
total_runtime_sec,739.5571381869959
flag_b1_hits_boundary,False
flag_b2_hits_boundary,False
flag_best_b1_on_boundary,False
flag_best_b2_on_boundary,False
flag_best_ratio_on_boundary,False
flag_late_best,False
flag_low_improvement,False
flag_low_signal,False
flag_plateau_too_long,False
flag_ratio_hits_boundary,True
