new_best_idx,eval,elapsed_sec,b1,b2,ratio,fitness,successes,delta_abs_vs_prev_best,delta_pct_vs_prev_best,plateau_since_prev_new_best
1,1,9.876260210992768,20240,122988,6.0764822134387355,1.111912536108311,34,,,
2,28,74.4063200870005,7944,192455,24.226460221550855,0.06887375959767526,17,1.043038776510636,93.80582938306163,26
3,29,80.22733156199683,21718,249017,11.465926880928262,0.02051137712744179,39,0.04836238247023347,70.2188798066802,0
4,39,108.84223584100255,6115,372632,60.93736713000818,-0.09140442242254307,21,0.11191579954998486,545.6279159347853,9
5,74,220.97331256000325,9129,197762,21.663051812903934,-0.2739069132001103,29,0.18250249077756722,199.66483671205458,34
6,127,419.70528596799704,7189,167160,23.252190847127554,-0.3123135417249192,28,0.03840662852480892,14.021781369479305,52
7,142,471.4190515800001,7713,133971,17.369506028782574,-0.3467059700566294,28,0.03439242833171019,11.012147645523001,14
