metric,value
best_eval,9
best_eval_fraction,0.15
eval_per_sec,0.37213238865692233
evaluation_count,60
improvement_percent,67.5393266678091
max_plateau_evals,51
median_plateau_evals,0.5
new_best_count,5
new_best_rate,0.08333333333333333
p90_plateau_evals,27.0
time_to_best_sec,22.185738963948097
time_to_first_improvement_sec,2.109004217956681
total_runtime_sec,161.23294243897544
flag_b1_hits_boundary,False
flag_b2_hits_boundary,False
flag_best_b1_on_boundary,False
flag_best_b2_on_boundary,False
flag_best_ratio_on_boundary,False
flag_late_best,False
flag_low_improvement,False
flag_low_signal,False
flag_plateau_too_long,True
flag_ratio_hits_boundary,True
