new_best_idx,eval,elapsed_sec,b1,b2,ratio,fitness,delta_abs_vs_prev_best,delta_pct_vs_prev_best,plateau_since_prev_new_best
1,1,0.6821612220373936,21570,243124,11.271395456652758,3.047885453066556,,,
2,2,1.0039420539978892,4346,104304,24.0,1.271939068712527,1.7759463843540289,58.26814726804132,0
3,5,2.9354819650179707,5272,15061,2.8567905918057663,1.1416250465554185,0.1303140221571084,10.245303832754656,2
4,7,3.665645052038599,2475,9494,3.835959595959596,0.8872474078671075,0.254377638688311,22.282065329228267,1
5,9,4.4676104270038195,2079,10941,5.262626262626263,0.8316709195496514,0.055576488317456096,6.263922309004974,1
6,43,22.00447596400045,2373,3992,1.682258744205647,0.8162408363714349,0.015430083178216591,1.855311135150903,33
