metric,value
best_eval,20
best_eval_fraction,0.3333333333333333
eval_per_sec,0.01034787462303299
evaluation_count,60
improvement_percent,35.0428594735248
max_plateau_evals,40
median_plateau_evals,6.0
new_best_count,4
new_best_rate,0.06666666666666667
p90_plateau_evals,27.6
time_to_best_sec,1638.283017570997
time_to_first_improvement_sec,59.27717856998788
total_runtime_sec,5798.292131066992
flag_b1_hits_boundary,False
flag_b2_hits_boundary,False
flag_best_b1_on_boundary,False
flag_best_b2_on_boundary,False
flag_best_ratio_on_boundary,False
flag_late_best,False
flag_low_improvement,False
flag_low_signal,False
flag_plateau_too_long,True
flag_ratio_hits_boundary,False
