phase_idx,phase_label,eval_from,eval_to,eval_count,new_best_count,best_fitness_in_phase,improvement_in_phase,phase_duration_sec
1,numbers=20 curves_per_n=12 population_size=22 generations=14 mutation_prob=0.14 workers=12,1,0,0,0,,,9.425973985344172e-06
2,init_best fitness=0.8127227887453046,1,22,22,1,0.8127227887453046,,9.894401629047934
3,generation=1/14 best_fitness=0.7550577366200741,23,43,21,1,0.7550577366200741,0.05766505212523043,5.664375733002089
4,generation=2/14 best_fitness=0.7550577366200741,44,64,21,0,0.7930903856467921,-0.03803264902671799,5.001161427993793
5,generation=3/14 best_fitness=0.7550577366200741,65,85,21,0,0.7794018233544193,0.013688562292372808,4.8150099869817495
6,generation=4/14 best_fitness=0.7550577366200741,86,106,21,0,0.771684337843908,0.007717485510511324,4.835648343025241
7,generation=5/14 best_fitness=0.7550577366200741,107,127,21,0,0.7774650671926793,-0.005780729348771274,4.754600835964084
8,generation=6/14 best_fitness=0.7536370474554133,128,148,21,1,0.7536370474554133,0.023828019737266004,4.762014773034025
9,generation=7/14 best_fitness=0.7536370474554133,149,169,21,0,0.7673384340305347,-0.013701386575121433,4.81517850299133
10,generation=8/14 best_fitness=0.7535516275966074,170,190,21,1,0.7535516275966074,0.013786806433927268,4.721194265992381
11,generation=9/14 best_fitness=0.7535516275966074,191,211,21,0,0.7542169899388682,-0.000665362342260778,4.8126777749857865
12,generation=10/14 best_fitness=0.7261514088895638,212,232,21,1,0.7261514088895638,0.028065581049304456,5.018353742023464
13,generation=11/14 best_fitness=0.7261514088895638,233,253,21,0,0.745702777931001,-0.019551369041437283,5.061041428998578
14,generation=12/14 best_fitness=0.7261514088895638,254,274,21,0,0.7404754344606772,0.005227343470323831,4.7809786190046
15,generation=13/14 best_fitness=0.7261514088895638,275,295,21,0,0.7434092273761053,-0.0029337929154280573,4.967303037992679
16,generation=14/14 best_fitness=0.7261514088895638,296,316,21,0,0.7536273320147302,-0.010218104638624936,5.406754617986735
