new_best_idx,eval,elapsed_sec,b1,b2,ratio,fitness,delta_abs_vs_prev_best,delta_pct_vs_prev_best,plateau_since_prev_new_best
1,4,9.894316160003655,2307,2307,1.0,0.8127227887453046,,,
2,43,15.558697597996797,1824,1824,1.0,0.7550577366200741,0.05766505212523043,7.095291644799912,38
3,138,39.72713410999859,1025,2139,2.086829268292683,0.7536370474554133,0.001420689164660871,0.18815636152811527,94
4,188,49.26357265497791,1042,2157,2.0700575815738964,0.7535516275966074,8.541985880583525e-05,0.01133434975022096,49
5,212,59.09454085899051,1003,1197,1.193419740777667,0.7261514088895638,0.027400218707043678,3.6361435240256172,23
