method,gain_ci_low,gain_ci_high
bo,87.70440910273851,88.42584773973599
de,88.2286726482708,88.93986558650046
ga,87.00125511564627,87.84860604964705
pso,87.32451540894908,88.5512830651858
rs,83.52486255438575,84.22359541399852
