metric,value
best_eval,484
best_eval_fraction,0.8344827586206897
eval_per_sec,0.02006633445511664
evaluation_count,580
improvement_percent,64.14153488070615
max_plateau_evals,290
median_plateau_evals,10.0
new_best_count,10
new_best_rate,0.017241379310344827
p90_plateau_evals,96.0
time_to_best_sec,24639.868185536994
time_to_first_improvement_sec,113.94205387600232
total_runtime_sec,28906.580711761955
flag_b1_hits_boundary,False
flag_b2_hits_boundary,False
flag_best_b1_on_boundary,False
flag_best_b2_on_boundary,False
flag_best_ratio_on_boundary,False
flag_late_best,True
flag_low_improvement,False
flag_low_signal,True
flag_plateau_too_long,False
flag_ratio_hits_boundary,False
