phase_idx,phase_label,eval_from,eval_to,eval_count,new_best_count,best_fitness_in_phase,improvement_in_phase,phase_duration_sec
1,numbers=20 curves_per_n=12 initial_samples=10 iterations=10 candidate_pool=1000 workers=12,1,0,0,0,,,4.990026354789734e-06
2,initial_design_completed points=10,1,10,10,4,0.8014524304016959,,3.0270695539657027
3,iteration=1/10 best_fitness=0.8014524304016959,11,11,1,0,0.8568563716544304,-0.05540394125273451,0.24714100902201608
4,iteration=2/10 best_fitness=0.8014524304016959,12,12,1,0,0.9329700129455887,-0.07611364129115827,0.26531774102477357
5,iteration=3/10 best_fitness=0.8014524304016959,13,13,1,0,1.0774016813375056,-0.1444316683919169,0.2927307659992948
6,iteration=4/10 best_fitness=0.8014524304016959,14,14,1,0,1.0647961605573073,0.012605520780198276,0.3279142439714633
7,iteration=5/10 best_fitness=0.8014524304016959,15,15,1,0,1.1559132579131983,-0.09111709735589102,0.36633488500956446
8,iteration=6/10 best_fitness=0.8014524304016959,16,16,1,0,0.8728695362224244,0.28304372169077396,0.2729688289691694
9,iteration=7/10 best_fitness=0.8014524304016959,17,17,1,0,0.9356567336944863,-0.06278719747206196,0.25911733403336257
10,iteration=8/10 best_fitness=0.8014524304016959,18,18,1,0,0.856418624840444,0.07923810885404237,0.24619933200301602
11,iteration=9/10 best_fitness=0.8014524304016959,19,19,1,0,1.0882317316427361,-0.23181310680229217,0.28909211297286674
12,iteration=10/10 best_fitness=0.8014524304016959,20,20,1,0,1.174816549406387,-0.08658481776365079,0.3130386249977164
