group_a,group_b,u_stat,p_raw,p_holm,is_significant,cliffs_delta,effect_size
20,25,285.0,4.3394041693289864e-09,4.3394041693289864e-09,True,-0.7185185185185186,large
20,30,33.0,2.6645352591003757e-15,7.993605777301127e-15,True,-0.9674074074074074,large
25,30,121.0,6.286082765427636e-13,1.2572165530855273e-12,True,-0.8804938271604938,large
