phase_idx,phase_label,eval_from,eval_to,eval_count,new_best_count,best_fitness_in_phase,improvement_in_phase,phase_duration_sec
1,numbers=20 curves_per_n=12 population_size=22 generations=14 mutation_prob=0.14 workers=12,1,0,0,0,,,9.248033165931702e-06
2,init_best fitness=0.751380269182846,1,22,22,1,0.751380269182846,,7.416153007012326
3,generation=1/14 best_fitness=0.6566693689674139,23,43,21,1,0.6566693689674139,0.09471090021543205,5.151924228994176
4,generation=2/14 best_fitness=0.6566693689674139,44,64,21,0,0.6645683377282694,-0.007898968760855496,4.754301244975068
5,generation=3/14 best_fitness=0.6566693689674139,65,85,21,0,0.6593729302112479,0.005195407517021522,4.6734994380385615
6,generation=4/14 best_fitness=0.6566693689674139,86,106,21,0,0.663315221114317,-0.003942290903069079,4.496528540970758
7,generation=5/14 best_fitness=0.6500086431915406,107,127,21,1,0.6500086431915406,0.013306577922776341,4.395007307000924
8,generation=6/14 best_fitness=0.6199007547780638,128,148,21,1,0.6199007547780638,0.03010788841347678,4.252105351013597
9,generation=7/14 best_fitness=0.6199007547780638,149,169,21,0,0.6507679556962103,-0.03086720091814643,4.278591220965609
10,generation=8/14 best_fitness=0.6199007547780638,170,190,21,0,0.6421429991314653,0.008624956564744934,4.398368837020826
11,generation=9/14 best_fitness=0.6199007547780638,191,211,21,0,0.6411686546925921,0.0009743444388732314,4.257564421975985
12,generation=10/14 best_fitness=0.6199007547780638,212,232,21,0,0.6319440363731701,0.009224618319422007,4.250890119001269
13,generation=11/14 best_fitness=0.6199007547780638,233,253,21,0,0.6309404257044662,0.0010036106687039137,4.290629638009705
14,generation=12/14 best_fitness=0.6199007547780638,254,274,21,0,0.6324643669940997,-0.0015239412896335125,4.2393410470103845
15,generation=13/14 best_fitness=0.6199007547780638,275,295,21,0,0.6314210070413537,0.0010433599527459592,4.200349905004259
16,generation=14/14 best_fitness=0.6199007547780638,296,316,21,0,0.6315686006855685,-0.00014759364421479404,4.343582350003999
