new_best_idx,eval,elapsed_sec,b1,b2,ratio,fitness,successes,delta_abs_vs_prev_best,delta_pct_vs_prev_best,plateau_since_prev_new_best
1,17,1019.7639039229834,39470,952035,24.12047124398277,30250.217414173094,635,,,
2,21,1169.037434449012,49999,1635067,32.701994039880795,29457.12130754906,637,793.0961066240343,2.6217864677311247,3
3,23,1258.245059097011,16701,1466486,87.8082749535956,28776.139614159656,612,680.9816933894035,2.311772716279939,1
4,31,1653.0654073919868,33557,1091902,32.538725154215214,28728.19135581569,632,47.94825834396761,0.16662505460035396,7
5,38,1998.7339836300234,49999,3000000,60.00120002400048,27464.92826841244,639,1263.2630874032475,4.397294183114366,6
6,41,2127.762766243017,49999,3000000,60.00120002400048,26861.95643756222,637,602.9718308502197,2.1954247429937794,2
7,44,2259.73483536602,44041,3000000,68.11834427011195,25011.332359970256,639,1850.624077591965,6.889386787196774,2
8,68,3292.5665425789775,49999,3000000,60.00120002400048,24832.54100751201,640,178.79135245824727,0.7148413762411012,23
