metric,value
best_eval,68
best_eval_fraction,0.11447811447811448
eval_per_sec,0.02236227661140842
evaluation_count,594
improvement_percent,86.86135126807146
max_plateau_evals,526
median_plateau_evals,6.0
new_best_count,8
new_best_rate,0.013468013468013467
p90_plateau_evals,123.6000000000001
time_to_best_sec,3292.5620933389873
time_to_first_improvement_sec,1019.7639039229834
total_runtime_sec,26562.604501436
flag_b1_hits_boundary,True
flag_b2_hits_boundary,True
flag_best_b1_on_boundary,True
flag_best_b2_on_boundary,True
flag_best_ratio_on_boundary,False
flag_late_best,False
flag_low_improvement,False
flag_low_signal,True
flag_plateau_too_long,True
flag_ratio_hits_boundary,False
