new_best_idx,eval,elapsed_sec,b1,b2,ratio,fitness,successes,delta_abs_vs_prev_best,delta_pct_vs_prev_best,plateau_since_prev_new_best
1,16,1406.246477223991,24347,968743,39.7890089128024,28265.062795172762,632,,,
2,48,3360.123504046991,36605,1902356,51.96984018576697,25914.519760047042,638,2350.54303512572,8.316072220179736,31
3,101,5164.299585326982,30986,1835614,59.2401084360679,25725.88629373149,635,188.63346631555032,0.7279064712068116,52
4,118,6067.5329002139915,31055,2267733,73.02312027048784,25430.703248218706,638,295.1830455127856,1.1474164277275511,16
5,147,6945.899747983989,36445,1795687,49.271148305666074,24605.747666671723,636,824.955581546983,3.243935385879535,28
6,200,9617.926268937008,34038,2518196,73.98190257947,23313.118082583424,638,1292.6295840882995,5.253364382985831,52
