metric,value
best_eval,200
best_eval_fraction,0.7299270072992701
eval_per_sec,0.022346811143387237
evaluation_count,274
improvement_percent,69.05309714091712
max_plateau_evals,74
median_plateau_evals,31.0
new_best_count,6
new_best_rate,0.021897810218978103
p90_plateau_evals,60.80000000000001
time_to_best_sec,9142.053816544998
time_to_first_improvement_sec,1406.246477223991
total_runtime_sec,12262.439349433
flag_b1_hits_boundary,False
flag_b2_hits_boundary,False
flag_best_b1_on_boundary,False
flag_best_b2_on_boundary,False
flag_best_ratio_on_boundary,False
flag_late_best,False
flag_low_improvement,False
flag_low_signal,True
flag_plateau_too_long,False
flag_ratio_hits_boundary,False
