new_best_idx,eval,elapsed_sec,b1,b2,ratio,fitness,successes,delta_abs_vs_prev_best,delta_pct_vs_prev_best,plateau_since_prev_new_best
1,5,953.1918581889986,67353,16039458,238.14021647142667,145787.19515985576,108,,,
2,37,2846.9693150589956,98505,17496856,177.6240393888635,143850.83357491426,109,1936.3615849415073,1.3282110152529414,31
3,52,4351.7691403339995,156582,26903858,171.81960889501985,141522.99676789096,115,2327.8368070232973,1.618229626602068,14
4,55,4633.026130972998,148870,36290964,243.77620742930074,123410.28848627987,118,18112.708281611092,12.798420536075408,2
