metric,value
best_eval,297
best_eval_fraction,0.7425
eval_per_sec,0.09546350278390046
evaluation_count,400
improvement_percent,89.88518247858242
max_plateau_evals,103
median_plateau_evals,28.5
new_best_count,9
new_best_rate,0.0225
p90_plateau_evals,88.6
time_to_best_sec,3004.923039458983
time_to_first_improvement_sec,158.1818302620086
total_runtime_sec,4190.093187881983
flag_b1_hits_boundary,True
flag_b2_hits_boundary,True
flag_best_b1_on_boundary,True
flag_best_b2_on_boundary,False
flag_best_ratio_on_boundary,False
flag_late_best,False
flag_low_improvement,False
flag_low_signal,True
flag_plateau_too_long,False
flag_ratio_hits_boundary,False
