run_report,dataset,divisor_size,method,seed,final_objective,total_runtime_sec,evaluation_count,time_to_best_sec,validation_relative_improvement_pct,run_file,validation_file
data/experiments/20_dset_20260409T100023Z/pso/optimize_20260409T100641Z/pso_optimize_20260409T100641Z_report.md?display_name=%F0%9F%93%84,data/numbers/20_dset_20260409T100023Z/train.json?display_name=20_dset_20260409T100023Z,20,pso,10007,0.7274194605415687,62.39464349299669,234,62.17240993399173,33.4498415217134,data/experiments/20_dset_20260409T100023Z/pso/optimize_20260409T100641Z/pso_optimize_20260409T100641Z.json?display_name=pso_optimize_20260409T100641Z.json,data/experiments/20_dset_20260409T100023Z/pso/optimize_20260409T100641Z/pso_validate_20260409T100644Z.json?display_name=pso_validate_20260409T100644Z.json
data/experiments/20_dset_20260409T100023Z/pso/optimize_20260409T100736Z/pso_optimize_20260409T100736Z_report.md?display_name=%F0%9F%93%84,data/numbers/20_dset_20260409T100023Z/train.json?display_name=20_dset_20260409T100023Z,20,pso,10007,0.6339978514879476,53.53832481399877,234,23.38190094497986,33.31180716678468,data/experiments/20_dset_20260409T100023Z/pso/optimize_20260409T100736Z/pso_optimize_20260409T100736Z.json?display_name=pso_optimize_20260409T100736Z.json,data/experiments/20_dset_20260409T100023Z/pso/optimize_20260409T100736Z/pso_validate_20260409T100739Z.json?display_name=pso_validate_20260409T100739Z.json
data/experiments/20_dset_20260409T100023Z/rs/optimize_20260409T100351Z/rs_optimize_20260409T100351Z_report.md?display_name=%F0%9F%93%84,data/numbers/20_dset_20260409T100023Z/train.json?display_name=20_dset_20260409T100023Z,20,rs,10007,0.7977958814590238,24.931447356007993,60,7.448043775977567,20.62882589279043,data/experiments/20_dset_20260409T100023Z/rs/optimize_20260409T100351Z/rs_optimize_20260409T100351Z.json?display_name=rs_optimize_20260409T100351Z.json,data/experiments/20_dset_20260409T100023Z/rs/optimize_20260409T100351Z/rs_validate_20260409T100354Z.json?display_name=rs_validate_20260409T100354Z.json
data/experiments/20_dset_20260409T100023Z/rs/optimize_20260409T100416Z/rs_optimize_20260409T100416Z_report.md?display_name=%F0%9F%93%84,data/numbers/20_dset_20260409T100023Z/train.json?display_name=20_dset_20260409T100023Z,20,rs,10007,0.7874246875289828,24.15658832102781,60,13.139926968025975,24.05592155111818,data/experiments/20_dset_20260409T100023Z/rs/optimize_20260409T100416Z/rs_optimize_20260409T100416Z.json?display_name=rs_optimize_20260409T100416Z.json,data/experiments/20_dset_20260409T100023Z/rs/optimize_20260409T100416Z/rs_validate_20260409T100420Z.json?display_name=rs_validate_20260409T100420Z.json
data/experiments/20_dset_20260409T100023Z/rs/optimize_20260409T100442Z/rs_optimize_20260409T100442Z_report.md?display_name=%F0%9F%93%84,data/numbers/20_dset_20260409T100023Z/train.json?display_name=20_dset_20260409T100023Z,20,rs,10007,0.7607032053056173,24.152288801968098,60,13.105827132007107,33.034572322494284,data/experiments/20_dset_20260409T100023Z/rs/optimize_20260409T100442Z/rs_optimize_20260409T100442Z.json?display_name=rs_optimize_20260409T100442Z.json,data/experiments/20_dset_20260409T100023Z/rs/optimize_20260409T100442Z/rs_validate_20260409T100446Z.json?display_name=rs_validate_20260409T100446Z.json
data/experiments/20_dset_20260409T101157Z/bo/optimize_20260409T101900Z/bo_optimize_20260409T101900Z_report.md?display_name=%F0%9F%93%84,data/numbers/20_dset_20260409T101157Z/train.json?display_name=20_dset_20260409T101157Z,20,bo,20011,0.6495790912304074,11.731464514974505,38,9.5709905269905,35.87992673827446,data/experiments/20_dset_20260409T101157Z/bo/optimize_20260409T101900Z/bo_optimize_20260409T101900Z.json?display_name=bo_optimize_20260409T101900Z.json,data/experiments/20_dset_20260409T101157Z/bo/optimize_20260409T101900Z/bo_validate_20260409T101903Z.json?display_name=bo_validate_20260409T101903Z.json
data/experiments/20_dset_20260409T101157Z/bo/optimize_20260409T101913Z/bo_optimize_20260409T101913Z_report.md?display_name=%F0%9F%93%84,data/numbers/20_dset_20260409T101157Z/train.json?display_name=20_dset_20260409T101157Z,20,bo,20011,0.6739584024762735,12.157082683988847,38,11.433894738962408,31.139400782063248,data/experiments/20_dset_20260409T101157Z/bo/optimize_20260409T101913Z/bo_optimize_20260409T101913Z.json?display_name=bo_optimize_20260409T101913Z.json,data/experiments/20_dset_20260409T101157Z/bo/optimize_20260409T101913Z/bo_validate_20260409T101917Z.json?display_name=bo_validate_20260409T101917Z.json
data/experiments/20_dset_20260409T101157Z/bo/optimize_20260409T101929Z/bo_optimize_20260409T101929Z_report.md?display_name=%F0%9F%93%84,data/numbers/20_dset_20260409T101157Z/train.json?display_name=20_dset_20260409T101157Z,20,bo,20011,0.6387650787364691,11.767234878032468,38,11.767030171002261,23.158365587539333,data/experiments/20_dset_20260409T101157Z/bo/optimize_20260409T101929Z/bo_optimize_20260409T101929Z.json?display_name=bo_optimize_20260409T101929Z.json,data/experiments/20_dset_20260409T101157Z/bo/optimize_20260409T101929Z/bo_validate_20260409T101932Z.json?display_name=bo_validate_20260409T101932Z.json
data/experiments/20_dset_20260409T101157Z/de/optimize_20260409T101246Z/de_optimize_20260409T101246Z_report.md?display_name=%F0%9F%93%84,data/numbers/20_dset_20260409T101157Z/train.json?display_name=20_dset_20260409T101157Z,20,de,20011,0.6407664045982528,54.005158441956155,220,51.95746223599417,35.32327993367329,data/experiments/20_dset_20260409T101157Z/de/optimize_20260409T101246Z/de_optimize_20260409T101246Z.json?display_name=de_optimize_20260409T101246Z.json,data/experiments/20_dset_20260409T101157Z/de/optimize_20260409T101246Z/de_validate_20260409T101249Z.json?display_name=de_validate_20260409T101249Z.json
data/experiments/20_dset_20260409T101157Z/de/optimize_20260409T101348Z/de_optimize_20260409T101348Z_report.md?display_name=%F0%9F%93%84,data/numbers/20_dset_20260409T101157Z/train.json?display_name=20_dset_20260409T101157Z,20,de,20011,0.6156255431968021,62.58083393401466,220,50.84109799901489,36.10235036610004,data/experiments/20_dset_20260409T101157Z/de/optimize_20260409T101348Z/de_optimize_20260409T101348Z.json?display_name=de_optimize_20260409T101348Z.json,data/experiments/20_dset_20260409T101157Z/de/optimize_20260409T101348Z/de_validate_20260409T101351Z.json?display_name=de_validate_20260409T101351Z.json
data/experiments/20_dset_20260409T101157Z/de/optimize_20260409T101446Z/de_optimize_20260409T101446Z_report.md?display_name=%F0%9F%93%84,data/numbers/20_dset_20260409T101157Z/train.json?display_name=20_dset_20260409T101157Z,20,de,20011,0.6393596139678266,59.46478765201755,220,54.89326903101755,29.208934305895813,data/experiments/20_dset_20260409T101157Z/de/optimize_20260409T101446Z/de_optimize_20260409T101446Z.json?display_name=de_optimize_20260409T101446Z.json,data/experiments/20_dset_20260409T101157Z/de/optimize_20260409T101446Z/de_validate_20260409T101449Z.json?display_name=de_validate_20260409T101449Z.json
data/experiments/20_dset_20260409T101157Z/ga/optimize_20260409T102035Z/ga_optimize_20260409T102035Z_report.md?display_name=%F0%9F%93%84,data/numbers/20_dset_20260409T101157Z/train.json?display_name=20_dset_20260409T101157Z,20,ga,20011,0.6297485245449934,70.06485043698922,316,55.60230301896809,33.170544258008164,data/experiments/20_dset_20260409T101157Z/ga/optimize_20260409T102035Z/ga_optimize_20260409T102035Z.json?display_name=ga_optimize_20260409T102035Z.json,data/experiments/20_dset_20260409T101157Z/ga/optimize_20260409T102035Z/ga_validate_20260409T102039Z.json?display_name=ga_validate_20260409T102039Z.json
data/experiments/20_dset_20260409T101157Z/ga/optimize_20260409T102144Z/ga_optimize_20260409T102144Z_report.md?display_name=%F0%9F%93%84,data/numbers/20_dset_20260409T101157Z/train.json?display_name=20_dset_20260409T101157Z,20,ga,20011,0.6294896161125507,69.22105580900097,316,57.52627561998088,34.8954409418594,data/experiments/20_dset_20260409T101157Z/ga/optimize_20260409T102144Z/ga_optimize_20260409T102144Z.json?display_name=ga_optimize_20260409T102144Z.json,data/experiments/20_dset_20260409T101157Z/ga/optimize_20260409T102144Z/ga_validate_20260409T102147Z.json?display_name=ga_validate_20260409T102147Z.json
data/experiments/20_dset_20260409T101157Z/ga/optimize_20260409T102252Z/ga_optimize_20260409T102252Z_report.md?display_name=%F0%9F%93%84,data/numbers/20_dset_20260409T101157Z/train.json?display_name=20_dset_20260409T101157Z,20,ga,20011,0.6199007547780638,69.39884590503061,316,32.30549765302567,36.3654601285267,data/experiments/20_dset_20260409T101157Z/ga/optimize_20260409T102252Z/ga_optimize_20260409T102252Z.json?display_name=ga_optimize_20260409T102252Z.json,data/experiments/20_dset_20260409T101157Z/ga/optimize_20260409T102252Z/ga_validate_20260409T102255Z.json?display_name=ga_validate_20260409T102255Z.json
data/experiments/20_dset_20260409T101157Z/pso/optimize_20260409T101707Z/pso_optimize_20260409T101707Z_report.md?display_name=%F0%9F%93%84,data/numbers/20_dset_20260409T101157Z/train.json?display_name=20_dset_20260409T101157Z,20,pso,20011,0.6289120060973801,50.38409256696468,234,34.24927107495023,31.32250275505309,data/experiments/20_dset_20260409T101157Z/pso/optimize_20260409T101707Z/pso_optimize_20260409T101707Z.json?display_name=pso_optimize_20260409T101707Z.json,data/experiments/20_dset_20260409T101157Z/pso/optimize_20260409T101707Z/pso_validate_20260409T101707Z.json?display_name=pso_validate_20260409T101707Z.json
data/experiments/20_dset_20260409T101157Z/pso/optimize_20260409T101756Z/pso_optimize_20260409T101756Z_report.md?display_name=%F0%9F%93%84,data/numbers/20_dset_20260409T101157Z/train.json?display_name=20_dset_20260409T101157Z,20,pso,20011,0.6282480965892319,49.96879740100121,234,20.501857472991105,35.02483400320357,data/experiments/20_dset_20260409T101157Z/pso/optimize_20260409T101756Z/pso_optimize_20260409T101756Z.json?display_name=pso_optimize_20260409T101756Z.json,data/experiments/20_dset_20260409T101157Z/pso/optimize_20260409T101756Z/pso_validate_20260409T101759Z.json?display_name=pso_validate_20260409T101759Z.json
data/experiments/20_dset_20260409T101157Z/pso/optimize_20260409T101844Z/pso_optimize_20260409T101844Z_report.md?display_name=%F0%9F%93%84,data/numbers/20_dset_20260409T101157Z/train.json?display_name=20_dset_20260409T101157Z,20,pso,20011,0.6276172669022344,49.73092076397734,234,29.189038073003758,37.943623901988296,data/experiments/20_dset_20260409T101157Z/pso/optimize_20260409T101844Z/pso_optimize_20260409T101844Z.json?display_name=pso_optimize_20260409T101844Z.json,data/experiments/20_dset_20260409T101157Z/pso/optimize_20260409T101844Z/pso_validate_20260409T101847Z.json?display_name=pso_validate_20260409T101847Z.json
data/experiments/20_dset_20260409T101157Z/rs/optimize_20260409T101510Z/rs_optimize_20260409T101510Z_report.md?display_name=%F0%9F%93%84,data/numbers/20_dset_20260409T101157Z/train.json?display_name=20_dset_20260409T101157Z,20,rs,20011,0.7917195461050142,22.88909773802152,60,5.555710117041599,13.569082806455862,data/experiments/20_dset_20260409T101157Z/rs/optimize_20260409T101510Z/rs_optimize_20260409T101510Z.json?display_name=rs_optimize_20260409T101510Z.json,data/experiments/20_dset_20260409T101157Z/rs/optimize_20260409T101510Z/rs_validate_20260409T101514Z.json?display_name=rs_validate_20260409T101514Z.json
data/experiments/20_dset_20260409T101157Z/rs/optimize_20260409T101537Z/rs_optimize_20260409T101537Z_report.md?display_name=%F0%9F%93%84,data/numbers/20_dset_20260409T101157Z/train.json?display_name=20_dset_20260409T101157Z,20,rs,20011,0.7933866459643468,22.788762747019064,60,2.3450760829728097,18.86487208602378,data/experiments/20_dset_20260409T101157Z/rs/optimize_20260409T101537Z/rs_optimize_20260409T101537Z.json?display_name=rs_optimize_20260409T101537Z.json,data/experiments/20_dset_20260409T101157Z/rs/optimize_20260409T101537Z/rs_validate_20260409T101538Z.json?display_name=rs_validate_20260409T101538Z.json
data/experiments/20_dset_20260409T101157Z/rs/optimize_20260409T101614Z/rs_optimize_20260409T101614Z_report.md?display_name=%F0%9F%93%84,data/numbers/20_dset_20260409T101157Z/train.json?display_name=20_dset_20260409T101157Z,20,rs,20011,0.9779800146061461,38.377927516005,60,1.7765949430176988,23.123706392166092,data/experiments/20_dset_20260409T101157Z/rs/optimize_20260409T101614Z/rs_optimize_20260409T101614Z.json?display_name=rs_optimize_20260409T101614Z.json,data/experiments/20_dset_20260409T101157Z/rs/optimize_20260409T101614Z/rs_validate_20260409T101618Z.json?display_name=rs_validate_20260409T101618Z.json
data/experiments/20_dset_20260409T102256Z/bo/optimize_20260409T103115Z/bo_optimize_20260409T103115Z_report.md?display_name=%F0%9F%93%84,data/numbers/20_dset_20260409T102256Z/train.json?display_name=20_dset_20260409T102256Z,20,bo,30013,0.6778200649423525,11.283276246977039,38,11.283066753007006,32.1979055568136,data/experiments/20_dset_20260409T102256Z/bo/optimize_20260409T103115Z/bo_optimize_20260409T103115Z.json?display_name=bo_optimize_20260409T103115Z.json,data/experiments/20_dset_20260409T102256Z/bo/optimize_20260409T103115Z/bo_validate_20260409T103119Z.json?display_name=bo_validate_20260409T103119Z.json
data/experiments/20_dset_20260409T102256Z/bo/optimize_20260409T103128Z/bo_optimize_20260409T103128Z_report.md?display_name=%F0%9F%93%84,data/numbers/20_dset_20260409T102256Z/train.json?display_name=20_dset_20260409T102256Z,20,bo,30013,0.6867381577612832,11.050793747999705,38,9.088678650034126,35.34004208648091,data/experiments/20_dset_20260409T102256Z/bo/optimize_20260409T103128Z/bo_optimize_20260409T103128Z.json?display_name=bo_optimize_20260409T103128Z.json,data/experiments/20_dset_20260409T102256Z/bo/optimize_20260409T103128Z/bo_validate_20260409T103131Z.json?display_name=bo_validate_20260409T103131Z.json
