metric,value
best_eval,176
best_eval_fraction,0.8
eval_per_sec,0.32028230882769204
evaluation_count,220
improvement_percent,13.911051936017923
max_plateau_evals,80
median_plateau_evals,38.0
new_best_count,5
new_best_rate,0.022727272727272728
p90_plateau_evals,64.5
time_to_best_sec,525.5476249720086
time_to_first_improvement_sec,5.852665870974306
total_runtime_sec,686.8944523180253
flag_b1_hits_boundary,False
flag_b2_hits_boundary,False
flag_best_b1_on_boundary,False
flag_best_b2_on_boundary,False
flag_best_ratio_on_boundary,False
flag_late_best,False
flag_low_improvement,False
flag_low_signal,True
flag_plateau_too_long,False
flag_ratio_hits_boundary,True
