new_best_idx,eval,elapsed_sec,b1,b2,ratio,fitness,delta_abs_vs_prev_best,delta_pct_vs_prev_best,plateau_since_prev_new_best
1,8,25.216043185035232,3304,5738,1.736682808716707,1.1413552908052225,,,
2,64,45.33009474101709,3336,6206,1.8603117505995204,0.9984561378951184,0.14289915291010402,12.520128838171779,55
3,70,52.02468717005104,3000,5685,1.895,0.9493889524310362,0.049067185464082286,4.914305556528762,5
4,87,57.95529848401202,3076,5844,1.8998699609882965,0.9409266216389369,0.008462330792099237,0.8913449825206328,16
5,189,80.85745034803404,3084,5916,1.9182879377431907,0.9128259059216361,0.028100715717300773,2.9864938530864418,101
6,205,86.14427466300549,3080,5851,1.8996753246753246,0.9037044369906653,0.009121468930970877,0.9992561420308697,15
