metric,value
best_eval,24
best_eval_fraction,0.4
eval_per_sec,0.351343825250062
evaluation_count,60
improvement_percent,86.66483699107775
max_plateau_evals,36
median_plateau_evals,2.0
new_best_count,7
new_best_rate,0.11666666666666667
p90_plateau_evals,15.699999999999996
time_to_best_sec,67.6852618609555
time_to_first_improvement_sec,1.5283917370252311
total_runtime_sec,170.77288880001288
flag_b1_hits_boundary,False
flag_b2_hits_boundary,False
flag_best_b1_on_boundary,False
flag_best_b2_on_boundary,False
flag_best_ratio_on_boundary,False
flag_late_best,False
flag_low_improvement,False
flag_low_signal,False
flag_plateau_too_long,True
flag_ratio_hits_boundary,True
