new_best_idx,eval,elapsed_sec,b1,b2,ratio,fitness,successes,delta_abs_vs_prev_best,delta_pct_vs_prev_best,plateau_since_prev_new_best
1,1,1.3768083089962602,334,8651,25.90119760479042,1100000.401120024,0,,,
2,2,6.120713019001414,13682,304619,22.264215757930128,391684.33960192406,40,708316.0615181,64.3923457479552,0
3,19,51.338253927999176,24800,515647,20.792217741935485,337984.7110226861,43,53699.628579237964,13.709924842492777,16
4,25,85.23411866300012,25732,512730,19.925773356132442,214301.23010447377,50,123683.48091821233,36.59440113251469,5
