phase_idx,phase_label,eval_from,eval_to,eval_count,new_best_count,successes_sum,success_rate,best_fitness_in_phase,improvement_in_phase,phase_duration_sec
1,numbers=20 max_curves_per_n=100 repeats_per_n=3 initial_samples=16 iterations=22 candidate_pool=2500 workers=56,1,0,0,0,0,,,,5.784000677522272e-06
2,initial_design_completed points=16,1,16,16,2,68,4.25,391684.33960192406,,35.28120368699456
3,iteration=1/22 best_fitness=391684.33960192406,17,17,1,0,38,38.0,433301.15709944465,-41616.81749752059,4.973858239005494
4,iteration=2/22 best_fitness=391684.33960192406,18,18,1,0,29,29.0,593267.7294903377,-159966.572390893,4.1444630439946195
5,iteration=3/22 best_fitness=337984.7110226861,19,19,1,1,43,43.0,337984.7110226861,255283.01846765156,7.339110756001901
6,iteration=4/22 best_fitness=337984.7110226861,20,20,1,0,5,5.0,1012850.8150035276,-674866.1039808415,2.7298479060045793
7,iteration=5/22 best_fitness=337984.7110226861,21,21,1,0,41,41.0,370518.03805192915,642332.7769515985,7.212947078995057
8,iteration=6/22 best_fitness=337984.7110226861,22,22,1,0,26,26.0,641817.7378892476,-271299.69983731845,4.285075293002592
9,iteration=7/22 best_fitness=337984.7110226861,23,23,1,0,29,29.0,587534.9568546258,54282.78103462176,6.8235530000019935
10,iteration=8/22 best_fitness=337984.7110226861,24,24,1,0,39,39.0,410968.09388806904,176566.8629665568,6.643896287998359
11,iteration=9/22 best_fitness=214301.23010447377,25,25,1,1,50,50.0,214301.23010447377,196666.86378359527,5.804362383998523
12,iteration=10/22 best_fitness=214301.23010447377,26,26,1,0,44,44.0,323001.52672438347,-108700.2966199097,7.434734540001955
13,iteration=11/22 best_fitness=214301.23010447377,27,27,1,0,35,35.0,480418.29104293446,-157416.764318551,6.99622783200175
14,iteration=12/22 best_fitness=214301.23010447377,28,28,1,0,46,46.0,284167.8865156802,196250.4045272543,6.672854705997452
15,iteration=13/22 best_fitness=214301.23010447377,29,29,1,0,46,46.0,288618.05383729097,-4450.167321610788,7.104858672995761
16,iteration=14/22 best_fitness=214301.23010447377,30,30,1,0,36,36.0,462951.4928855965,-174333.43904830556,6.520131016004598
17,iteration=15/22 best_fitness=214301.23010447377,31,31,1,0,35,35.0,482351.7111316476,-19400.218246051052,7.464329992995772
18,iteration=16/22 best_fitness=214301.23010447377,32,32,1,0,48,48.0,253284.67209412865,229067.03903751893,5.56051742600539
19,iteration=17/22 best_fitness=214301.23010447377,33,33,1,0,41,41.0,372801.349824885,-119516.67773075638,6.5307648469970445
20,iteration=18/22 best_fitness=214301.23010447377,34,34,1,0,41,41.0,383901.6805189045,-11100.330694019503,6.269981539997389
21,iteration=19/22 best_fitness=214301.23010447377,35,35,1,0,36,36.0,465968.3324970912,-82066.65197818668,7.1032008480033255
22,iteration=20/22 best_fitness=214301.23010447377,36,36,1,0,38,38.0,427068.16847946215,38900.16401762905,6.682985286002804
23,iteration=21/22 best_fitness=214301.23010447377,37,37,1,0,39,39.0,413751.6769381312,13316.491541330935,6.901612706999003
24,iteration=22/22 best_fitness=214301.23010447377,38,38,1,0,47,47.0,275334.7775488938,138416.8993892374,6.668358760995034
