phase_idx,phase_label,eval_from,eval_to,eval_count,new_best_count,best_fitness_in_phase,improvement_in_phase,phase_duration_sec
1,step=1/60 new_best b1=35516 b2=113229 fitness=4.123623448977014,1,1,1,1,4.123623448977014,,0.8922136729815975
2,step=2/60 new_best b1=27462 b2=102944 fitness=3.320207524317084,2,2,1,1,3.320207524317084,0.8034159246599302,0.7285172400297597
3,step=3/60 new_best b1=11128 b2=45241 fitness=1.7578212685475592,3,3,1,1,1.7578212685475592,1.5623862557695247,0.4180775269633159
4,step=4/60 new_best b1=3429 b2=82296 fitness=1.1751766667002812,4,4,1,1,1.1751766667002812,0.582644601847278,0.30462365300627425
5,step=6/60 new_best b1=3121 b2=18938 fitness=0.9701896763872355,5,6,2,1,0.9701896763872355,0.20498699031304568,0.7650810990016907
