group_a,group_b,u_stat,p_raw,p_holm,is_significant,cliffs_delta,effect_size
bo,de,1.0,0.12663045794761718,0.49534613435626706,False,0.7777777777777778,large
bo,ga,4.0,0.8272593465627114,0.8272593465627114,False,-0.1111111111111111,negligible
bo,pso,0.0,0.049534613435626706,0.49534613435626706,False,1.0,large
bo,rs,0.0,0.049534613435626706,0.49534613435626706,False,-1.0,large
de,ga,0.0,0.049534613435626706,0.49534613435626706,False,-1.0,large
de,pso,1.0,0.12663045794761718,0.49534613435626706,False,0.7777777777777778,large
de,rs,0.0,0.049534613435626706,0.49534613435626706,False,-1.0,large
ga,pso,0.0,0.049534613435626706,0.49534613435626706,False,1.0,large
ga,rs,0.0,0.049534613435626706,0.49534613435626706,False,-1.0,large
pso,rs,0.0,0.049534613435626706,0.49534613435626706,False,-1.0,large
