phase_idx,phase_label,eval_from,eval_to,eval_count,new_best_count,best_fitness_in_phase,improvement_in_phase,phase_duration_sec
1,numbers=20 curves_per_n=12 population_size=22 generations=14 mutation_prob=0.14 workers=12,1,0,0,0,,,8.747971151024103e-06
2,init_best fitness=0.6983831566467416,1,22,22,1,0.6983831566467416,,7.283311837003566
3,generation=1/14 best_fitness=0.6983831566467416,23,43,21,0,0.7004958087927662,-0.0021126521460246295,4.948526196007151
4,generation=2/14 best_fitness=0.6983831566467416,44,64,21,0,0.7005137775558978,-1.7968763131648302e-05,4.605920999019872
5,generation=3/14 best_fitness=0.6881869988283142,65,85,21,1,0.6881869988283142,0.012326778727583587,4.4962423479883
6,generation=4/14 best_fitness=0.6552756355958991,86,106,21,1,0.6552756355958991,0.03291136323241517,4.532943877973594
7,generation=5/14 best_fitness=0.6552756355958991,107,127,21,0,0.6689725100295618,-0.013696874433662742,4.48697163403267
8,generation=6/14 best_fitness=0.6478776534786448,128,148,21,1,0.6478776534786448,0.02109485655091703,4.436138254008256
9,generation=7/14 best_fitness=0.6478776534786448,149,169,21,0,0.6532389609492384,-0.0053613074705936015,4.387509678956121
10,generation=8/14 best_fitness=0.6458229412382934,170,190,21,1,0.6458229412382934,0.0074160197109449655,4.371893581002951
11,generation=9/14 best_fitness=0.6458229412382934,191,211,21,0,0.6571556827693712,-0.011332741531077772,4.755217906029429
12,generation=10/14 best_fitness=0.6458229412382934,212,232,21,0,0.6578033964615315,-0.0006477136921603233,4.375341870996635
13,generation=11/14 best_fitness=0.6422537136240862,233,253,21,1,0.6422537136240862,0.015549682837445289,4.349969319999218
14,generation=12/14 best_fitness=0.6284082999569364,254,274,21,1,0.6284082999569364,0.013845413667149864,4.327634332992602
15,generation=13/14 best_fitness=0.6284082999569364,275,295,21,0,0.6343819995818194,-0.005973699624883033,4.32955302199116
16,generation=14/14 best_fitness=0.6284082999569364,296,316,21,0,0.6356089962064289,-0.0012269966246094555,4.327199036022648
