method,gain_ci_low,gain_ci_high
bo,55.52547873008199,60.9300446740953
de,57.50983573702626,63.33733358665046
ga,62.7687883947783,63.68023665882937
pso,58.270144194892595,60.91439436622992
rs,46.131708357377136,52.0113384616059
