method,baseline_mean_median,optimized_mean_median,delta_abs
bo,3.9984431215852965,1.619326176296454,2.3791169452888425
de,4.03042169768014,1.5197612400224898,2.51066045765765
ga,4.110993468289962,1.4954369016340934,2.6155565666558687
pso,4.03206716987188,1.5759578729048371,2.4561092969670426
rs,4.095195331028663,1.9652294267434627,2.1299659042852
