event_idx,kind,eval,elapsed_sec,b1,b2,ratio,fitness,is_new_best,message,timestamp_utc
1,step,0,7.234048098325729e-06,,,,,False,numbers=20 curves_per_n=12 initial_samples=16 iterations=22 candidate_pool=2500 workers=12,2026-04-09T10:45:37.700124+00:00
2,evaluation,1,1.1673414380056784,34520,67319,1.9501448435689455,5.4350918969430495,False,,2026-04-09T10:45:38.867467+00:00
3,new_best,1,1.1673990180133842,34520,67319,1.9501448435689455,5.4350918969430495,True,,2026-04-09T10:45:38.867515+00:00
4,evaluation,2,1.615699289017357,7252,7252,1.0,1.7990152242127806,False,,2026-04-09T10:45:39.315822+00:00
5,new_best,2,1.6157530120108277,7252,7252,1.0,1.7990152242127806,True,,2026-04-09T10:45:39.315869+00:00
6,evaluation,3,2.036193613021169,6559,23352,3.560298826040555,1.8114688034402207,False,,2026-04-09T10:45:39.736316+00:00
7,evaluation,4,2.453556592052337,3766,90384,24.0,1.765021051367512,False,,2026-04-09T10:45:40.153680+00:00
8,new_best,4,2.4536183300078847,3766,90384,24.0,1.765021051367512,True,,2026-04-09T10:45:40.153734+00:00
9,evaluation,5,2.98386609001318,7983,191592,24.0,2.2982073035964277,False,,2026-04-09T10:45:40.683989+00:00
10,evaluation,6,3.3160439700004645,4883,4883,1.0,1.268107360781869,False,,2026-04-09T10:45:41.016168+00:00
11,new_best,6,3.316110733023379,4883,4883,1.0,1.268107360781869,True,,2026-04-09T10:45:41.016227+00:00
12,evaluation,7,3.943738373054657,17900,17900,1.0,2.7203319538675714,False,,2026-04-09T10:45:41.643865+00:00
13,evaluation,8,4.486460467043798,13956,13956,1.0,2.3549771390971728,False,,2026-04-09T10:45:42.186583+00:00
14,evaluation,9,5.695376789022703,34299,785453,22.900172016676873,5.570197414341965,False,,2026-04-09T10:45:43.395501+00:00
15,evaluation,10,6.320020631013904,13786,142563,10.341143188742203,2.734378242806997,False,,2026-04-09T10:45:44.020148+00:00
16,evaluation,11,7.026033753005322,20508,46125,2.2491222937390285,2.9916559996287106,False,,2026-04-09T10:45:44.726159+00:00
