new_best_idx,eval,elapsed_sec,b1,b2,ratio,fitness,delta_abs_vs_prev_best,delta_pct_vs_prev_best,plateau_since_prev_new_best
1,1,1.6606897769961506,52817,693002,13.1208133744817,7.986935079650721,,,
2,2,2.3195110239903443,13632,381696,28.0,2.964633545721881,5.0223015339288395,62.88146183540122,0
3,3,2.7087250749464147,8900,8900,1.0,1.6020864696474746,1.3625470760744065,45.960050544548146,0
4,5,4.001763478969224,4691,62375,13.296738435301641,1.3893563862075098,0.2127300834399648,13.278314714609271,1
5,9,6.404118478996679,5030,19357,3.84831013916501,1.2697226204909384,0.11963376571657136,8.610732775564703,3
6,18,12.561468929983675,3141,87948,28.0,1.2433044392382726,0.026418181252665818,2.0806261797912384,8
7,24,15.558993565966375,4823,10410,2.158407630105743,1.2149145098228473,0.028389929415425286,2.2834254040642503,5
8,30,17.978362460969947,3933,16910,4.299516908212561,1.1569084008806385,0.05800610894220881,4.774501289861701,5
9,45,27.707625456969254,3617,3715,1.027094277025159,0.9748362269019708,0.1820721739786677,15.737821061725752,14
10,102,50.66702195198741,3021,3353,1.1098973849718636,0.9258290818834212,0.049007145018549636,5.027218282017927,56
11,129,63.7463586559752,3257,3257,1.0,0.9226876044704113,0.003141477413009852,0.3393150500974889,26
12,185,82.1982624239754,3243,3243,1.0,0.9154287337441929,0.007258870726218447,0.7867094660261283,55
13,217,93.19577300996752,3119,3119,1.0,0.9048912509460934,0.010537482798099518,1.1510981040544996,31
