new_best_idx,eval,elapsed_sec,b1,b2,ratio,fitness,delta_abs_vs_prev_best,delta_pct_vs_prev_best,plateau_since_prev_new_best
1,1,0.2527105869958177,1783,35660,20.0,0.9058194058015943,,,
2,2,0.4758471099776216,1018,20360,20.0,0.7673860858776607,0.1384333199239336,15.282662199252472,0
3,19,6.9564742220100015,1191,7591,6.373635600335852,0.7330083380511496,0.03437774782651104,4.479850294287413,16
4,35,11.697434000961948,1542,3566,2.3125810635538264,0.7263190529192798,0.006689285131869838,0.912579678104979,15
5,42,13.654662470973562,1468,2923,1.9911444141689374,0.7213342612958513,0.004984791623428464,0.6863088064939491,6
6,44,14.080652892007492,1261,1725,1.3679619349722443,0.6843381275830325,0.036996133712818846,5.128847428702001,1
7,79,22.635220939991996,1274,1274,1.0,0.6699884615954943,0.014349665987538174,2.0968678214991163,34
8,120,32.60865582397673,1225,1225,1.0,0.6611833802890033,0.008805081306491047,1.314213872508019,40
9,123,33.25685980200069,1205,1205,1.0,0.6538109450484626,0.0073724352405406535,1.1150363817853621,2
10,132,35.18649206199916,1171,1171,1.0,0.6527780366013758,0.001032908447086811,0.15798274025685644,8
11,145,37.878646778990515,1105,1105,1.0,0.6403484587208368,0.012429577880539,1.9041047926876289,12
12,194,48.51825027196901,1036,1036,1.0,0.6385921763139777,0.0017562824068590999,0.2742697952873125,48
