phase_idx,phase_label,eval_from,eval_to,eval_count,new_best_count,best_fitness_in_phase,improvement_in_phase,phase_duration_sec
1,numbers=20 curves_per_n=12 swarm_size=18 iterations=12 workers=12,1,0,0,0,,,4.377972800284624e-06
2,init_best fitness=0.882015108683845,1,18,18,1,0.882015108683845,,11.251367586024571
3,iteration=1/12 best_fitness=0.8663324888038915,19,36,18,2,0.8663324888038915,0.015682619879953563,6.870848901977297
4,iteration=2/12 best_fitness=0.8663324888038915,37,54,18,0,0.8756362244021147,-0.009303735598223284,4.891742695996072
5,iteration=3/12 best_fitness=0.8663324888038915,55,72,18,0,0.8887056909152307,-0.013069466513115913,4.600075780006591
6,iteration=4/12 best_fitness=0.8663324888038915,73,90,18,0,0.8840116842475254,0.004694006667705253,4.579924424993806
7,iteration=5/12 best_fitness=0.8663324888038915,91,108,18,0,0.8969368733232841,-0.01292518907575868,4.568486575037241
8,iteration=6/12 best_fitness=0.8663324888038915,109,126,18,0,0.8781495332950726,0.018787340028211474,4.5590184449683875
9,iteration=7/12 best_fitness=0.8663324888038915,127,144,18,0,0.8992748414748348,-0.021125308179762214,4.543318420008291
10,iteration=8/12 best_fitness=0.8265336291806307,145,162,18,4,0.8265336291806307,0.07274121229420416,4.444407597009558
11,iteration=9/12 best_fitness=0.8040779241127893,163,180,18,2,0.8040779241127893,0.022455705067841336,4.16364122898085
12,iteration=10/12 best_fitness=0.8016144550929312,181,198,18,1,0.8016144550929312,0.0024634690198581666,4.172295115015004
13,iteration=11/12 best_fitness=0.7963599655195139,199,216,18,2,0.7963599655195139,0.0052544895734172314,4.194970573007595
14,iteration=12/12 best_fitness=0.7963599655195139,217,234,18,0,0.8150036782026291,-0.018643712683115155,4.186881795001682
