new_best_idx,eval,elapsed_sec,b1,b2,ratio,fitness,successes,delta_abs_vs_prev_best,delta_pct_vs_prev_best,plateau_since_prev_new_best
1,5,1056.7936715169926,41896,1369776,32.69467252243651,28639.770529623856,638,,,
2,24,1404.5470281449961,35876,1065365,29.695757609543985,27994.484216163346,631,645.2863134605104,2.2531127223699348,18
3,36,2149.3998331909825,22171,1324529,59.741509178656806,27793.567144279223,628,200.9170718841233,0.7177023528374871,11
4,54,3166.1910893019813,26941,1304841,48.43328013065588,26510.853206998345,633,1282.7139372808779,4.615146845391165,17
5,72,4099.271832188999,30878,1291234,41.81728091197616,25886.40240140694,637,624.4508055914048,2.355453446615449,17
6,120,6344.986312872992,30001,1405467,46.8473384220526,25697.889837102703,636,188.51256430423746,0.7282300621811847,47
7,126,6590.784656404983,28336,1380592,48.72219085262564,25487.39666341915,634,210.49317368355332,0.8191068411369814,5
8,142,7283.669999492005,27187,2295159,84.42119395299224,25428.19461760102,634,59.20204581812868,0.23227968944783822,15
9,168,8412.218741636985,35490,3704703,104.38723584108199,25409.16523856791,638,19.029379033108853,0.07483574559373947,25
10,213,10369.046758540993,25910,2742610,105.85140872250096,24716.452219673156,639,692.7130188947558,2.7262328864047243,44
