metric,value
best_eval,213
best_eval_fraction,0.8452380952380952
eval_per_sec,0.020896032118893227
evaluation_count,252
improvement_percent,89.37552142896722
max_plateau_evals,47
median_plateau_evals,17.0
new_best_count,10
new_best_rate,0.03968253968253968
p90_plateau_evals,44.0
time_to_best_sec,10368.112282327987
time_to_first_improvement_sec,1056.7936715169926
total_runtime_sec,12060.757098981994
flag_b1_hits_boundary,True
flag_b2_hits_boundary,True
flag_best_b1_on_boundary,False
flag_best_b2_on_boundary,False
flag_best_ratio_on_boundary,False
flag_late_best,True
flag_low_improvement,False
flag_low_signal,False
flag_plateau_too_long,False
flag_ratio_hits_boundary,False
