metric,value
best_eval,151
best_eval_fraction,0.94375
eval_per_sec,0.01926713021502889
evaluation_count,160
improvement_percent,85.00540930714219
max_plateau_evals,95
median_plateau_evals,6.0
new_best_count,8
new_best_rate,0.05
p90_plateau_evals,43.000000000000014
time_to_best_sec,7871.635898924986
time_to_first_improvement_sec,49.750353002993506
total_runtime_sec,8304.29847176699
flag_b1_hits_boundary,False
flag_b2_hits_boundary,False
flag_best_b1_on_boundary,False
flag_best_b2_on_boundary,True
flag_best_ratio_on_boundary,False
flag_late_best,True
flag_low_improvement,False
flag_low_signal,False
flag_plateau_too_long,True
flag_ratio_hits_boundary,True
